#;$id;libellé SEDA 2;libellé SEDA antérieur;libellé français
type;url;string;string;string
lang;;seda-2;seda;fr
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;Keep;conserver;conserver
;;Destroy;detruire;détruire
