#;$id;label;alt label
type;url;string;string
lang;;seda-2;seda-2
url;skos:Concept;skos:prefLabel;skos:altLabel
;;micrometre;4H
;;millimetre;MMT
;;centimetre;CMT
;;metre;
;;inch;INH
;;foot;FOT
