#;$id;Valeur;Label court;Label long
type;url;string;string;string
lang;;seda;fr;fr
url;skos:Concept;skos:prefLabel;skos:altLabel;skos:prefLabel
;;fmt/122;Encapsulated PostScript File Format;Encapsulated PostScript File Format (Version=1.2)
;;fmt/125;Microsoft Powerpoint Presentation;Microsoft Powerpoint Presentation (Version=95)
;;fmt/126;Microsoft Powerpoint Presentation;Microsoft Powerpoint Presentation (Version=97-2002)
;;fmt/124;Encapsulated PostScript File Format;Encapsulated PostScript File Format (Version=3)
;;fmt/123;Encapsulated PostScript File Format;Encapsulated PostScript File Format (Version=2.0)
;;fmt/160;Device Independent File Format;Device Independent File Format
;;fmt/7;Tagged Image File Format;Tagged Image File Format (Version=3)
;;fmt/8;Tagged Image File Format;Tagged Image File Format (Version=4)
;;fmt/9;Tagged Image File Format;Tagged Image File Format (Version=5)
;;fmt/10;Tagged Image File Format;Tagged Image File Format (Version=6)
;;fmt/14;Acrobat PDF 1.0 - Portable Document Format;Acrobat PDF 1.0 - Portable Document Format (Version=1.0)
;;fmt/15;Acrobat PDF 1.1 - Portable Document Format;Acrobat PDF 1.1 - Portable Document Format (Version=1.1)
;;fmt/16;Acrobat PDF 1.2 - Portable Document Format;Acrobat PDF 1.2 - Portable Document Format (Version=1.2)
;;fmt/17;Acrobat PDF 1.3 - Portable Document Format;Acrobat PDF 1.3 - Portable Document Format (Version=1.3)
;;fmt/18;Acrobat PDF 1.4 - Portable Document Format;Acrobat PDF 1.4 - Portable Document Format (Version=1.4)
;;fmt/19;Acrobat PDF 1.5 - Portable Document Format;Acrobat PDF 1.5 - Portable Document Format (Version=1.5)
;;fmt/3;Graphics Interchange;Format Graphics Interchange Format (Version=1987a)
;;fmt/4;Graphics Interchange;Format Graphics Interchange Format (Version=1989a)
;;fmt/86;PCX;PCX (Version=0)
;;fmt/87;PCX;PCX (Version=2)
;;fmt/88;PCX;PCX (Version=3)
;;fmt/89;PCX;PCX (Version=4)
;;fmt/90;PCX;PCX (Version=5)
;;fmt/45;Rich Text Format;Rich Text Format (Version=1.0)
;;fmt/46;Rich Text Format;Rich Text Format (Version=1.1)
;;fmt/47;Rich Text Format;Rich Text Format (Version=1.2)
;;fmt/48;Rich Text Format;Rich Text Format (Version=1.3)
;;fmt/50;Rich Text Format;Rich Text Format (Version=1.5)
;;fmt/49;Rich Text Format;Rich Text Format (Version=1.4)
;;fmt/51;Rich Text Format;Rich Text Format (Version=1.6)
;;fmt/52;Rich Text Format;Rich Text Format (Version=1.7)
;;fmt/91;Scalable Vector Graphics;Scalable Vector Graphics (Version=1.0)
;;fmt/92;Scalable Vector Graphics;Scalable Vector Graphics (Version=1.1)
;;fmt/20;Acrobat PDF 1.6 - Portable Document Format;Acrobat PDF 1.6 - Portable Document Format (Version=1.6)
;;fmt/101;Extensible Markup Language;Extensible Markup Language (Version=1.0)
;;fmt/97;Hypertext Markup Language;Hypertext Markup Language (Version=2.0)
;;fmt/98;Hypertext Markup Language;Hypertext Markup Language (Version=3.2)
;;fmt/99;Hypertext Markup Language;Hypertext Markup Language (Version=4.0)
;;fmt/100;Hypertext Markup Language;Hypertext Markup Language (Version=4.01)
;;fmt/102;Extensible Hypertext Markup Language;Extensible Hypertext Markup Language (Version=1.0)
;;fmt/103;Extensible Hypertext Markup Language;Extensible Hypertext Markup Language (Version=1.1)
;;fmt/96;Hypertext Markup Language;Hypertext Markup Language
;;fmt/104;Macromedia Flash;Macromedia Flash (Version=1)
;;fmt/105;Macromedia Flash;Macromedia Flash (Version=2)
;;fmt/106;Macromedia Flash;Macromedia Flash (Version=3)
;;fmt/107;Macromedia Flash;Macromedia Flash (Version=4)
;;fmt/108;Macromedia Flash;Macromedia Flash (Version=5)
;;fmt/109;Macromedia Flash;Macromedia Flash (Version=6)
;;fmt/110;Macromedia Flash;Macromedia Flash (Version=7)
;;fmt/6;Waveform Audio;Waveform Audio
;;fmt/5;Audio/Video Interleaved Format;Audio/Video Interleaved Format
;;fmt/2;Broadcast WAVE;Broadcast WAVE (Version=1)
