#;$id;libellé SEDA 2;libellé SEDA antérieur;libellé anglais
type;url;string;string;string
lang;;seda-2;seda;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;ASCII 7 bit;1;ASCII 7 bit
;;ASCII 8 bit;2;ASCII 8 bit
;;Code page 500 (EBCDIC Multinational No. 5);3;Code page 500 (EBCDIC Multinational No. 5)
;;Code page 850 (IBM PC Multinational);4;Code page 850 (IBM PC Multinational)
;;UCS-2;5;UCS-2
;;UCS-4;6;UCS-4
;;UTF-8;7;UTF-8
;;UTF-16;8;UTF-16
;;Mutually agreed Mutually agreed between trading partners;zzz;Mutually agreed Mutually agreed between trading partners
