#;$id;libellé SEDA;libellé anglais
;;application/moss-signature;moss-signature
;;application/mosskey-data;mosskey-data
;;application/mosskey-request;mosskey-request
;;application/mp21;mp21
;;application/mpeg4-generic;mpeg4-generic
;;application/mpeg4-iod;mpeg4-iod
;;application/mpeg4-iod-xmt;mpeg4-iod-xmt
;;application/mp4;mp4
;;application/msc-ivr+xml;msc-ivr+xml
;;application/msc-mixer+xml;msc-mixer+xml
;;application/msword;msword
;;application/mxf;mxf
;;application/nasdata;nasdata
;;application/news-checkgroups;news-checkgroups
;;application/news-groupinfo;news-groupinfo
;;application/news-transmission;news-transmission
;;application/nss;nss
;;application/ocsp-request;ocsp-request
;;application/ocsp-response;ocsp-response
;;application/octet-stream;octet-stream
;;application/oda;oda
;;application/oebps-package+xml;oebps-package+xml
;;application/ogg;ogg
;;application/parityfec;parityfec
;;application/patch-ops-error+xml;patch-ops-error+xml
;;application/pdf;pdf
;;application/pgp-encrypted;pgp-encrypted
;;application/pgp-keys;pgp-keys
;;application/pgp-signature;pgp-signature
;;application/pidf+xml;pidf+xml
;;application/pidf-diff+xml;pidf-diff+xml
;;application/pkcs10;pkcs10
;;application/pkcs7-mime;pkcs7-mime
;;application/pkcs7-signature;pkcs7-signature
;;application/pkcs8;pkcs8
;;application/pkix-attr-cert;pkix-attr-cert
;;application/pkix-cert;pkix-cert
;;application/pkixcmp;pkixcmp
;;application/pkix-crl;pkix-crl
;;application/pkix-pkipath;pkix-pkipath
;;application/pls+xml;pls+xml
;;application/poc-settings+xml;poc-settings+xml
;;application/postscript;postscript
;;application/prs.alvestrand.titrax-sheet;prs.alvestrand.titrax-sheet
;;application/prs.cww;prs.cww
;;application/prs.nprend;prs.nprend
;;application/prs.plucker;prs.plucker
;;application/prs.rdf-xml-crypt;prs.rdf-xml-crypt
;;application/prs.xsf+xml;prs.xsf+xml
;;application/pskc+xml;pskc+xml
;;application/rdf+xml;rdf+xml
;;application/qsig;qsig
;;application/reginfo+xml;reginfo+xml
;;application/relax-ng-compact-syntax;relax-ng-compact-syntax
;;application/remote-printing;remote-printing
;;application/resource-lists-diff+xml;resource-lists-diff+xml
