#;$id;libellé SEDA;libellé anglais
;;application/vnd.ms-powerpoint.template.macroEnabled.12;vnd.ms-powerpoint.template.macroEnabled.12
;;application/vnd.msign;vnd.msign
;;application/vnd.ms-ims;vnd.ms-ims
;;application/vnd.ms-lrm;vnd.ms-lrm
;;application/vnd.ms-playready.initiator+xml;vnd.ms-playready.initiator+xml
;;application/vnd.ms-powerpoint;vnd.ms-powerpoint
;;application/vnd.ms-project;vnd.ms-project
;;application/vnd.ms-tnef;vnd.ms-tnef
;;application/vnd.ms-wmdrm.lic-chlg-req;vnd.ms-wmdrm.lic-chlg-req
;;application/vnd.ms-wmdrm.lic-resp;vnd.ms-wmdrm.lic-resp
;;application/vnd.ms-wmdrm.meter-chlg-req;vnd.ms-wmdrm.meter-chlg-req
;;application/vnd.ms-wmdrm.meter-resp;vnd.ms-wmdrm.meter-resp
;;application/vnd.ms-word.document.macroEnabled.12;vnd.ms-word.document.macroEnabled.12
;;application/vnd.ms-word.template.macroEnabled.12;vnd.ms-word.template.macroEnabled.12
;;application/vnd.ms-works;vnd.ms-works
;;application/vnd.ms-wpl;vnd.ms-wpl
;;application/vnd.ms-xpsdocument;vnd.ms-xpsdocument
;;application/vnd.multiad.creator;vnd.multiad.creator
;;application/vnd.multiad.creator.cif;vnd.multiad.creator.cif
;;application/vnd.musician;vnd.musician
;;application/vnd.music-niff;vnd.music-niff
;;application/vnd.muvee.style;vnd.muvee.style
;;application/vnd.ncd.control;vnd.ncd.control
;;application/vnd.ncd.reference;vnd.ncd.reference
;;application/vnd.nervana;vnd.nervana
;;application/vnd.netfpx;vnd.netfpx
;;application/vnd.neurolanguage.nlu;vnd.neurolanguage.nlu
;;application/vnd.noblenet-directory;vnd.noblenet-directory
;;application/vnd.noblenet-sealer;vnd.noblenet-sealer
;;application/vnd.noblenet-web;vnd.noblenet-web
;;application/vnd.nokia.catalogs;vnd.nokia.catalogs
;;application/vnd.nokia.conml+wbxml;vnd.nokia.conml+wbxml
;;application/vnd.nokia.conml+xml;vnd.nokia.conml+xml
;;application/vnd.nokia.iptv.config+xml;vnd.nokia.iptv.config+xml
;;application/vnd.nokia.iSDS-radio-presets;vnd.nokia.iSDS-radio-presets
;;application/vnd.nokia.landmark+wbxml;vnd.nokia.landmark+wbxml
;;application/vnd.nokia.landmark+xml;vnd.nokia.landmark+xml
;;application/vnd.nokia.landmarkcollection+xml;vnd.nokia.landmarkcollection+xml
;;application/vnd.nokia.ncd;vnd.nokia.ncd
;;application/vnd.nokia.n-gage.ac+xml;vnd.nokia.n-gage.ac+xml
;;application/vnd.nokia.n-gage.data;vnd.nokia.n-gage.data
;;application/vnd.nokia.n-gage.symbian.install;vnd.nokia.n-gage.symbian.install
;;application/vnd.nokia.pcd+wbxml;vnd.nokia.pcd+wbxml
;;application/vnd.nokia.pcd+xml;vnd.nokia.pcd+xml
;;application/vnd.nokia.radio-preset;vnd.nokia.radio-preset
;;application/vnd.nokia.radio-presets;vnd.nokia.radio-presets
;;application/vnd.novadigm.EDM;vnd.novadigm.EDM
;;application/vnd.novadigm.EDX;vnd.novadigm.EDX
;;application/vnd.novadigm.EXT;vnd.novadigm.EXT
;;application/vnd.ntt-local.file-transfer;vnd.ntt-local.file-transfer
;;application/vnd.ntt-local.sip-ta_remote;vnd.ntt-local.sip-ta_remote
;;application/vnd.ntt-local.sip-ta_tcp_stream;vnd.ntt-local.sip-ta_tcp_stream
;;application/vnd.oasis.opendocument.chart;vnd.oasis.opendocument.chart
;;application/vnd.oasis.opendocument.chart-template;vnd.oasis.opendocument.chart-template
;;application/vnd.oasis.opendocument.database;vnd.oasis.opendocument.database
;;application/vnd.oasis.opendocument.formula;vnd.oasis.opendocument.formula
;;application/vnd.oasis.opendocument.formula-template;vnd.oasis.opendocument.formula-template
;;application/vnd.oasis.opendocument.graphics;vnd.oasis.opendocument.graphics
;;application/vnd.oasis.opendocument.graphics-template;vnd.oasis.opendocument.graphics-template
;;application/vnd.oasis.opendocument.image;vnd.oasis.opendocument.image
;;application/vnd.oasis.opendocument.image-template;vnd.oasis.opendocument.image-template
;;application/vnd.oasis.opendocument.presentation;vnd.oasis.opendocument.presentation
;;application/vnd.oasis.opendocument.presentation-template;vnd.oasis.opendocument.presentation-template
;;application/vnd.oasis.opendocument.spreadsheet;vnd.oasis.opendocument.spreadsheet
;;application/vnd.oasis.opendocument.spreadsheet-template;vnd.oasis.opendocument.spreadsheet-template
;;application/vnd.oasis.opendocument.text;vnd.oasis.opendocument.text
;;application/vnd.oasis.opendocument.text-master;vnd.oasis.opendocument.text-master
;;application/vnd.oasis.opendocument.text-template;vnd.oasis.opendocument.text-template
;;application/vnd.oasis.opendocument.text-web;vnd.oasis.opendocument.text-web
;;application/vnd.obn;vnd.obn
;;application/vnd.oipf.contentaccessdownload+xml;vnd.oipf.contentaccessdownload+xml
;;application/vnd.oipf.contentaccessstreaming+xml;vnd.oipf.contentaccessstreaming+xml
;;application/vnd.oipf.cspg-hexbinary;vnd.oipf.cspg-hexbinary
;;application/vnd.oipf.dae.svg+xml;vnd.oipf.dae.svg+xml
;;application/vnd.oipf.dae.xhtml+xml;vnd.oipf.dae.xhtml+xml
;;application/vnd.oipf.mippvcontrolmessage+xml;vnd.oipf.mippvcontrolmessage+xml
;;application/vnd.oipf.spdiscovery+xml;vnd.oipf.spdiscovery+xml
;;application/vnd.oipf.spdlist+xml;vnd.oipf.spdlist+xml
;;application/vnd.oipf.ueprofile+xml;vnd.oipf.ueprofile+xml
;;application/vnd.oipf.userprofile+xml;vnd.oipf.userprofile+xml
;;application/vnd.olpc-sugar;vnd.olpc-sugar
;;application/vnd.oma.bcast.associated-procedure-parameter+xml;vnd.oma.bcast.associated-procedure-parameter+xml
;;application/vnd.oma.bcast.drm-trigger+xml;vnd.oma.bcast.drm-trigger+xml
;;application/vnd.oma.bcast.imd+xml;vnd.oma.bcast.imd+xml
;;application/vnd.oma.bcast.ltkm;vnd.oma.bcast.ltkm
;;application/vnd.oma.bcast.notification+xml;vnd.oma.bcast.notification+xml
;;application/vnd.oma.bcast.provisioningtrigger;vnd.oma.bcast.provisioningtrigger
;;application/vnd.oma.bcast.sgboot;vnd.oma.bcast.sgboot
;;application/vnd.oma.bcast.sgdd+xml;vnd.oma.bcast.sgdd+xml
;;application/vnd.oma.bcast.sgdu;vnd.oma.bcast.sgdu
;;application/vnd.oma.bcast.simple-symbol-container;vnd.oma.bcast.simple-symbol-container
;;application/vnd.oma.bcast.smartcard-trigger+xml;vnd.oma.bcast.smartcard-trigger+xml
;;application/vnd.oma.bcast.sprov+xml;vnd.oma.bcast.sprov+xml
;;application/vnd.oma.bcast.stkm;vnd.oma.bcast.stkm
;;application/vnd.oma.cab-address-book+xml;vnd.oma.cab-address-book+xml
;;application/vnd.oma.cab-feature-handler+xml;vnd.oma.cab-feature-handler+xml
;;application/vnd.oma.cab-pcc+xml;vnd.oma.cab-pcc+xml
;;application/vnd.oma.cab-user-prefs+xml;vnd.oma.cab-user-prefs+xml
;;application/vnd.oma.dcd;vnd.oma.dcd
;;application/vnd.oma.dcdc;vnd.oma.dcdc
;;application/vnd.oma.dd2+xml;vnd.oma.dd2+xml
;;application/vnd.oma.drm.risd+xml;vnd.oma.drm.risd+xml
;;application/vnd.oma.group-usage-list+xml;vnd.oma.group-usage-list+xml
;;application/vnd.oma.poc.detailed-progress-report+xml;vnd.oma.poc.detailed-progress-report+xml
;;application/vnd.oma.poc.final-report+xml;vnd.oma.poc.final-report+xml
;;application/vnd.oma.poc.groups+xml;vnd.oma.poc.groups+xml
;;application/vnd.oma.poc.invocation-descriptor+xml;vnd.oma.poc.invocation-descriptor+xml
;;application/vnd.oma.poc.optimized-progress-report+xml;vnd.oma.poc.optimized-progress-report+xml
;;application/vnd.oma.push;vnd.oma.push
;;application/vnd.oma.scidm.messages+xml;vnd.oma.scidm.messages+xml
;;application/vnd.oma.xcap-directory+xml;vnd.oma.xcap-directory+xml
;;application/vnd.omads-email+xml;vnd.omads-email+xml
;;application/vnd.omads-file+xml;vnd.omads-file+xml
;;application/vnd.omads-folder+xml;vnd.omads-folder+xml
;;application/vnd.omaloc-supl-init;vnd.omaloc-supl-init
;;application/vnd.oma-scws-config;vnd.oma-scws-config
;;application/vnd.oma-scws-http-request;vnd.oma-scws-http-request
;;application/vnd.oma-scws-http-response;vnd.oma-scws-http-response
;;application/vnd.openofficeorg.extension;vnd.openofficeorg.extension
;;application/vnd.openxmlformats-officedocument.custom-properties+xml;vnd.openxmlformats-officedocument.custom-properties+xml
;;application/vnd.openxmlformats-officedocument.customXmlProperties+xml;vnd.openxmlformats-officedocument.customXmlProperties+xml
;;application/vnd.openxmlformats-officedocument.drawing+xml;vnd.openxmlformats-officedocument.drawing+xml
;;application/vnd.openxmlformats-officedocument.drawingml.chart+xml;vnd.openxmlformats-officedocument.drawingml.chart+xml
;;application/vnd.openxmlformats-officedocument.drawingml.chartshapes+xml;vnd.openxmlformats-officedocument.drawingml.chartshapes+xml
;;application/vnd.openxmlformats-officedocument.drawingml.diagramColors+xml;vnd.openxmlformats-officedocument.drawingml.diagramColors+xml
;;application/vnd.openxmlformats-officedocument.drawingml.diagramData+xml;vnd.openxmlformats-officedocument.drawingml.diagramData+xml
;;application/vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml;vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml
;;application/vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml;vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml
;;application/vnd.openxmlformats-officedocument.extended-properties+xml;vnd.openxmlformats-officedocument.extended-properties+xml
;;application/vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml;vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml
;;application/vnd.openxmlformats-officedocument.presentationml.comments+xml;vnd.openxmlformats-officedocument.presentationml.comments+xml
;;application/vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml;vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml
;;application/vnd.openxmlformats-officedocument.presentationml.notesMaster+xml;vnd.openxmlformats-officedocument.presentationml.notesMaster+xml
;;application/vnd.openxmlformats-officedocument.presentationml.notesSlide+xml;vnd.openxmlformats-officedocument.presentationml.notesSlide+xml
;;application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml;vnd.openxmlformats-officedocument.presentationml.presentation.main+xml
;;application/vnd.openxmlformats-officedocument.presentationml.presProps+xml;vnd.openxmlformats-officedocument.presentationml.presProps+xml
;;application/vnd.openxmlformats-officedocument.presentationml.slide+xml;vnd.openxmlformats-officedocument.presentationml.slide+xml
;;application/vnd.openxmlformats-officedocument.presentationml.slideLayout+xml;vnd.openxmlformats-officedocument.presentationml.slideLayout+xml
;;application/vnd.openxmlformats-officedocument.presentationml.slideMaster+xml;vnd.openxmlformats-officedocument.presentationml.slideMaster+xml
;;application/vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml;vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml
;;application/vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml;vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml
;;application/vnd.openxmlformats-officedocument.presentationml.tableStyles+xml;vnd.openxmlformats-officedocument.presentationml.tableStyles+xml
;;application/vnd.openxmlformats-officedocument.presentationml.tags+xml;vnd.openxmlformats-officedocument.presentationml.tags+xml
;;application/vnd.openxmlformats-officedocument.presentationml.template.main+xml;vnd.openxmlformats-officedocument.presentationml.template.main+xml
;;application/vnd.openxmlformats-officedocument.presentationml.viewProps+xml;vnd.openxmlformats-officedocument.presentationml.viewProps+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml;vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml;vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.comments+xml;vnd.openxmlformats-officedocument.spreadsheetml.comments+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.connections+xml;vnd.openxmlformats-officedocument.spreadsheetml.connections+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml;vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml;vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml;vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml;vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml;vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml;vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml;vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml;vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml;vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml;vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml;vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml;vnd.openxmlformats-officedocument.spreadsheetml.styles+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml;vnd.openxmlformats-officedocument.spreadsheetml.table+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml;vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml;vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml;vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml;vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml
;;application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml;vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml
;;application/vnd.openxmlformats-officedocument.theme+xml;vnd.openxmlformats-officedocument.theme+xml
;;application/vnd.openxmlformats-officedocument.themeOverride+xml;vnd.openxmlformats-officedocument.themeOverride+xml
;;application/vnd.openxmlformats-officedocument.vmlDrawing;vnd.openxmlformats-officedocument.vmlDrawing
;;application/vnd.openxmlformats-officedocument.wordprocessingml.comments+xml;vnd.openxmlformats-officedocument.wordprocessingml.comments+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml;vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml;vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml;vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml;vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.footer+xml;vnd.openxmlformats-officedocument.wordprocessingml.footer+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml;vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml;vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.settings+xml;vnd.openxmlformats-officedocument.wordprocessingml.settings+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.styles+xml;vnd.openxmlformats-officedocument.wordprocessingml.styles+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml;vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml
;;application/vnd.openxmlformats-officedocument.wordprocessingml.webSettings+xml;vnd.openxmlformats-officedocument.wordprocessingml.webSettings+xml
;;application/vnd.openxmlformats-package.core-properties+xml;vnd.openxmlformats-package.core-properties+xml
;;application/vnd.openxmlformats-package.digital-signature-xmlsignature+xml;vnd.openxmlformats-package.digital-signature-xmlsignature+xml
;;application/vnd.openxmlformats-package.relationships+xml;vnd.openxmlformats-package.relationships+xml
;;application/vnd.osa.netdeploy;vnd.osa.netdeploy
;;application/vnd.osgeo.mapguide.package;vnd.osgeo.mapguide.package
;;application/vnd.osgi.bundle;vnd.osgi.bundle
;;application/vnd.osgi.dp;vnd.osgi.dp
;;application/vnd.otps.ct-kip+xml;vnd.otps.ct-kip+xml
;;application/vnd.palm;vnd.palm
;;application/vnd.paos.xml;vnd.paos.xml
;;application/vnd.pawaafile;vnd.pawaafile
;;application/vnd.pg.format;vnd.pg.format
;;application/vnd.pg.osasli;vnd.pg.osasli
;;application/vnd.piaccess.application-licence;vnd.piaccess.application-licence
;;application/vnd.picsel;vnd.picsel
;;application/vnd.pmi.widget;vnd.pmi.widget
;;application/vnd.poc.group-advertisement+xml;vnd.poc.group-advertisement+xml
;;application/vnd.pocketlearn;vnd.pocketlearn
;;application/vnd.powerbuilder6;vnd.powerbuilder6
;;application/vnd.powerbuilder6-s;vnd.powerbuilder6-s
;;application/vnd.powerbuilder7;vnd.powerbuilder7
;;application/vnd.powerbuilder75;vnd.powerbuilder75
;;application/vnd.powerbuilder75-s;vnd.powerbuilder75-s
;;application/vnd.powerbuilder7-s;vnd.powerbuilder7-s
;;application/vnd.preminet;vnd.preminet
;;application/vnd.previewsystems.box;vnd.previewsystems.box
;;application/vnd.proteus.magazine;vnd.proteus.magazine
;;application/vnd.publishare-delta-tree;vnd.publishare-delta-tree
;;application/vnd.pvi.ptid1;vnd.pvi.ptid1
;;application/vnd.pwg-multiplexed;vnd.pwg-multiplexed
;;application/vnd.pwg-xhtml-print+xml;vnd.pwg-xhtml-print+xml
;;application/vnd.qualcomm.brew-app-res;vnd.qualcomm.brew-app-res
;;application/vnd.Quark.QuarkXPress;vnd.Quark.QuarkXPress
;;application/vnd.radisys.moml+xml;vnd.radisys.moml+xml
;;application/vnd.radisys.msml-audit-conf+xml;vnd.radisys.msml-audit-conf+xml
;;application/vnd.radisys.msml-audit-conn+xml;vnd.radisys.msml-audit-conn+xml
;;application/vnd.radisys.msml-audit-dialog+xml;vnd.radisys.msml-audit-dialog+xml
;;application/vnd.radisys.msml-audit-stream+xml;vnd.radisys.msml-audit-stream+xml
;;application/vnd.radisys.msml-audit+xml;vnd.radisys.msml-audit+xml
;;application/vnd.radisys.msml-conf+xml;vnd.radisys.msml-conf+xml
;;application/vnd.radisys.msml-dialog-base+xml;vnd.radisys.msml-dialog-base+xml
;;application/vnd.radisys.msml-dialog-fax-detect+xml;vnd.radisys.msml-dialog-fax-detect+xml
;;application/vnd.radisys.msml-dialog-fax-sendrecv+xml;vnd.radisys.msml-dialog-fax-sendrecv+xml
;;application/vnd.radisys.msml-dialog-group+xml;vnd.radisys.msml-dialog-group+xml
;;application/vnd.radisys.msml-dialog-speech+xml;vnd.radisys.msml-dialog-speech+xml
;;application/vnd.radisys.msml-dialog-transform+xml;vnd.radisys.msml-dialog-transform+xml
;;application/vnd.radisys.msml-dialog+xml;vnd.radisys.msml-dialog+xml
;;application/vnd.radisys.msml+xml;vnd.radisys.msml+xml
;;application/vnd.rapid;vnd.rapid
;;application/vnd.realvnc.bed;vnd.realvnc.bed
;;application/vnd.recordare.musicxml;vnd.recordare.musicxml
;;application/vnd.recordare.musicxml+xml;vnd.recordare.musicxml+xml
;;application/vnd.RenLearn.rlprint;vnd.RenLearn.rlprint
;;application/vnd.rig.cryptonote;vnd.rig.cryptonote
;;application/vnd.route66.link66+xml;vnd.route66.link66+xml
;;application/vnd.ruckus.download;vnd.ruckus.download
;;application/vnd.s3sms;vnd.s3sms
;;application/vnd.sailingtracker.track;vnd.sailingtracker.track
;;application/vnd.sbm.cid;vnd.sbm.cid
;;application/vnd.sbm.mid2;vnd.sbm.mid2
;;application/vnd.scribus;vnd.scribus
;;application/vnd.sealed.3df;vnd.sealed.3df
;;application/vnd.sealed.csf;vnd.sealed.csf
;;application/vnd.sealed.doc;vnd.sealed.doc
;;application/vnd.sealed.eml;vnd.sealed.eml
;;application/vnd.sealed.mht;vnd.sealed.mht
;;application/vnd.sealed.net;vnd.sealed.net
;;application/vnd.sealed.ppt;vnd.sealed.ppt
;;application/vnd.sealed.tiff;vnd.sealed.tiff
;;application/vnd.sealed.xls;vnd.sealed.xls
;;application/vnd.sealedmedia.softseal.html;vnd.sealedmedia.softseal.html
;;application/vnd.sealedmedia.softseal.pdf;vnd.sealedmedia.softseal.pdf
;;application/vnd.seemail;vnd.seemail
;;application/vnd.sema;vnd.sema
;;application/vnd.semd;vnd.semd
;;application/vnd.semf;vnd.semf
;;application/vnd.shana.informed.formdata;vnd.shana.informed.formdata
;;application/vnd.shana.informed.formtemplate;vnd.shana.informed.formtemplate
;;application/vnd.shana.informed.interchange;vnd.shana.informed.interchange
;;application/vnd.shana.informed.package;vnd.shana.informed.package
;;application/vnd.SimTech-MindMapper;vnd.SimTech-MindMapper
;;application/vnd.smaf;vnd.smaf
;;application/vnd.smart.notebook;vnd.smart.notebook
;;application/vnd.smart.teacher;vnd.smart.teacher
;;application/vnd.software602.filler.form+xml;vnd.software602.filler.form+xml
;;application/vnd.software602.filler.form-xml-zip;vnd.software602.filler.form-xml-zip
;;application/vnd.solent.sdkm+xml;vnd.solent.sdkm+xml
;;application/vnd.spotfire.dxp;vnd.spotfire.dxp
;;application/vnd.spotfire.sfs;vnd.spotfire.sfs
;;application/vnd.sss-cod;vnd.sss-cod
;;application/vnd.sss-dtf;vnd.sss-dtf
;;application/vnd.sss-ntf;vnd.sss-ntf
;;application/vnd.stepmania.stepchart;vnd.stepmania.stepchart
;;application/vnd.street-stream;vnd.street-stream
;;application/vnd.sun.wadl+xml;vnd.sun.wadl+xml
;;application/vnd.sus-calendar;vnd.sus-calendar
;;application/vnd.svd;vnd.svd
;;application/vnd.swiftview-ics;vnd.swiftview-ics
;;application/vnd.syncml.dm.notification;vnd.syncml.dm.notification
;;application/vnd.syncml.dm+wbxml;vnd.syncml.dm+wbxml
;;application/vnd.syncml.dm+xml;vnd.syncml.dm+xml
;;application/vnd.syncml.ds.notification;vnd.syncml.ds.notification
;;application/vnd.syncml+xml;vnd.syncml+xml
;;application/vnd.tao.intent-module-archive;vnd.tao.intent-module-archive
;;application/vnd.tmobile-livetv;vnd.tmobile-livetv
;;application/vnd.trid.tpt;vnd.trid.tpt
;;application/vnd.triscape.mxs;vnd.triscape.mxs
;;application/vnd.trueapp;vnd.trueapp
;;application/vnd.truedoc;vnd.truedoc
;;application/vnd.ubisoft.webplayer;vnd.ubisoft.webplayer
;;application/vnd.ufdl;vnd.ufdl
;;application/vnd.uiq.theme;vnd.uiq.theme
;;application/vnd.umajin;vnd.umajin
;;application/vnd.unity;vnd.unity
;;application/vnd.uoml+xml;vnd.uoml+xml
;;application/vnd.uplanet.alert;vnd.uplanet.alert
;;application/vnd.uplanet.alert-wbxml;vnd.uplanet.alert-wbxml
;;application/vnd.uplanet.bearer-choice;vnd.uplanet.bearer-choice
;;application/vnd.uplanet.bearer-choice-wbxml;vnd.uplanet.bearer-choice-wbxml
;;application/vnd.uplanet.cacheop;vnd.uplanet.cacheop
;;application/vnd.uplanet.cacheop-wbxml;vnd.uplanet.cacheop-wbxml
;;application/vnd.uplanet.channel;vnd.uplanet.channel
;;application/vnd.uplanet.channel-wbxml;vnd.uplanet.channel-wbxml
;;application/vnd.uplanet.list;vnd.uplanet.list
;;application/vnd.uplanet.listcmd;vnd.uplanet.listcmd
;;application/vnd.uplanet.listcmd-wbxml;vnd.uplanet.listcmd-wbxml
;;application/vnd.uplanet.list-wbxml;vnd.uplanet.list-wbxml
;;application/vnd.uplanet.signal;vnd.uplanet.signal
;;application/vnd.vcx;vnd.vcx
;;application/vnd.vd-study;vnd.vd-study
;;application/vnd.vectorworks;vnd.vectorworks
;;application/vnd.verimatrix.vcas;vnd.verimatrix.vcas
;;application/vnd.vidsoft.vidconference;vnd.vidsoft.vidconference
;;application/vnd.visio;vnd.visio
;;application/vnd.visionary;vnd.visionary
;;application/vnd.vividence.scriptfile;vnd.vividence.scriptfile
;;application/vnd.vsf;vnd.vsf
;;application/vnd.wap.sic;vnd.wap.sic
;;application/vnd.wap.slc;vnd.wap.slc
;;application/vnd.wap.wbxml;vnd.wap.wbxml
;;application/vnd.wap.wmlc;vnd.wap.wmlc
;;application/vnd.wap.wmlscriptc;vnd.wap.wmlscriptc
;;application/vnd.webturbo;vnd.webturbo
;;application/vnd.wfa.wsc;vnd.wfa.wsc
;;application/vnd.wmc;vnd.wmc
;;application/vnd.wmf.bootstrap;vnd.wmf.bootstrap
;;application/vnd.wolfram.mathematica;vnd.wolfram.mathematica
;;application/vnd.wolfram.mathematica.package;vnd.wolfram.mathematica.package
;;application/vnd.wolfram.player;vnd.wolfram.player
;;application/vnd.wordperfect;vnd.wordperfect
;;application/vnd.wqd;vnd.wqd
;;application/vnd.wrq-hp3000-labelled;vnd.wrq-hp3000-labelled
;;application/vnd.wt.stf;vnd.wt.stf
;;application/vnd.wv.csp+xml;vnd.wv.csp+xml
;;application/vnd.wv.csp+wbxml;vnd.wv.csp+wbxml
;;application/vnd.wv.ssp+xml;vnd.wv.ssp+xml
;;application/vnd.xara;vnd.xara
;;application/vnd.xfdl;vnd.xfdl
;;application/vnd.xfdl.webform;vnd.xfdl.webform
;;application/vnd.xmi+xml;vnd.xmi+xml
;;application/vnd.xmpie.cpkg;vnd.xmpie.cpkg
;;application/vnd.xmpie.dpkg;vnd.xmpie.dpkg
;;application/vnd.xmpie.plan;vnd.xmpie.plan
;;application/vnd.xmpie.ppkg;vnd.xmpie.ppkg
;;application/vnd.xmpie.xlim;vnd.xmpie.xlim
;;application/vnd.yamaha.hv-dic;vnd.yamaha.hv-dic
;;application/vnd.yamaha.hv-script;vnd.yamaha.hv-script
;;application/vnd.yamaha.hv-voice;vnd.yamaha.hv-voice
;;application/vnd.yamaha.openscoreformat.osfpvg+xml;vnd.yamaha.openscoreformat.osfpvg+xml
;;application/vnd.yamaha.openscoreformat;vnd.yamaha.openscoreformat
;;application/vnd.yamaha.smaf-audio;vnd.yamaha.smaf-audio
;;application/vnd.yamaha.smaf-phrase;vnd.yamaha.smaf-phrase
;;application/vnd.yamaha.tunnel-udpencap;vnd.yamaha.tunnel-udpencap
;;application/vnd.yellowriver-custom-menu;vnd.yellowriver-custom-menu
;;application/vnd.zul;vnd.zul
;;application/vnd.zzazz.deck+xml;vnd.zzazz.deck+xml
;;application/voicexml+xml;voicexml+xml
;;application/vq-rtcpxr;vq-rtcpxr
;;application/watcherinfo+xml;watcherinfo+xml
;;application/whoispp-query;whoispp-query
;;application/whoispp-response;whoispp-response
;;application/widget;widget
;;application/wita;wita
;;application/wordperfect5.1;wordperfect5.1
;;application/wsdl+xml;wsdl+xml
;;application/wspolicy+xml;wspolicy+xml
;;application/x400-bp;x400-bp
;;application/xcap-att+xml;xcap-att+xml
;;application/xcap-caps+xml;xcap-caps+xml
